AWS Extension Dependency,Function category,complexity,Efforts(Hours)
aws_oracle_ext.dbms_lock$init,LOCK_DBMS_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_lock$constant,LOCK_DBMS_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_lock$allocate_unique,LOCK_DBMS_PROCESSING,COMPLEX,4
aws_oracle_ext.dbms_lob$lobmaxsize,LOB_PROCESSING_DBMS,MEDIUM,2
aws_oracle_ext.dbms_lob$instr,LOB_PROCESSING_DBMS,MEDIUM,2
aws_oracle_ext.dbms_lob$copy,LOB_PROCESSING_DBMS,MEDIUM,2
aws_oracle_ext.dbms_lob$constant,LOB_PROCESSING_DBMS,MEDIUM,2
aws_oracle_ext.dbms_job$what,JOBS_PROCESSING_DBMS_JOB,COMPLEX,4
aws_oracle_ext.dbms_job$user_export,JOBS_PROCESSING_DBMS_JOB,COMPLEX,4
aws_oracle_ext.dbms_job$submit,JOBS_PROCESSING_DBMS_JOB,COMPLEX,4
aws_oracle_ext.dbms_job$run,JOBS_PROCESSING_DBMS_JOB,COMPLEX,4
aws_oracle_ext.dbms_job$remove,JOBS_PROCESSING_DBMS_JOB,COMPLEX,4
aws_oracle_ext.dbms_job$next_date,JOBS_PROCESSING_DBMS_JOB,COMPLEX,4
aws_oracle_ext.dbms_job$isubmit,JOBS_PROCESSING_DBMS_JOB,COMPLEX,4
aws_oracle_ext.dbms_job$interval,JOBS_PROCESSING_DBMS_JOB,COMPLEX,4
aws_oracle_ext.dbms_job$instance,JOBS_PROCESSING_DBMS_JOB,COMPLEX,4
aws_oracle_ext.dbms_job$change,JOBS_PROCESSING_DBMS_JOB,COMPLEX,4
aws_oracle_ext.dbms_job$broken,JOBS_PROCESSING_DBMS_JOB,COMPLEX,4
aws_oracle_ext.dbms_assert$sql_object_name,SQL_INJECTION_DBMS_ASSERT,MEDIUM,2
aws_oracle_ext.dbms_assert$simple_sql_name,SQL_INJECTION_DBMS_ASSERT,MEDIUM,2
aws_oracle_ext.dbms_assert$schema_name,SQL_INJECTION_DBMS_ASSERT,MEDIUM,2
aws_oracle_ext.dbms_assert$qualified_sql_name,SQL_INJECTION_DBMS_ASSERT,MEDIUM,2
aws_oracle_ext.dbms_assert$enquote_name,SQL_INJECTION_DBMS_ASSERT,MEDIUM,2
aws_oracle_ext.dbms_assert$enquote_literal,SQL_INJECTION_DBMS_ASSERT,MEDIUM,2
aws_oracle_ext.dbms_aq$message_properties_t,ORACLE_STREAMS_QUEUE,COMPLEX,4
aws_oracle_ext.dbms_aq$enqueue_options_t,ORACLE_STREAMS_QUEUE,COMPLEX,4
aws_oracle_ext.dbms_aq$enqueue,ORACLE_STREAMS_QUEUE,COMPLEX,4
aws_oracle_ext.dbms_aq$dequeue_options_t,ORACLE_STREAMS_QUEUE,COMPLEX,4
aws_oracle_ext.dbms_aq$dequeue,ORACLE_STREAMS_QUEUE,COMPLEX,4
aws_oracle_ext.dbms_aqadm$drop_queue_table,DBMS_ADVANCED_QUEUE,COMPLEX,4
aws_oracle_ext.dbms_aqadm$drop_queue,DBMS_ADVANCED_QUEUE,COMPLEX,4
aws_oracle_ext.dbms_aqadm$create_queue_table,DBMS_ADVANCED_QUEUE,COMPLEX,4
aws_oracle_ext.dbms_aqadm$create_queue,DBMS_ADVANCED_QUEUE,COMPLEX,4
aws_oracle_ext.dbms_application_info$set_session_longops_nohint,APP_INFO_DBMS,SIMPLE,1
aws_oracle_ext.dbms_application_info$set_session_longops,APP_INFO_DBMS,SIMPLE,1
aws_oracle_ext.dbms_application_info$set_module,APP_INFO_DBMS,SIMPLE,1
aws_oracle_ext.dbms_application_info$set_client_info,APP_INFO_DBMS,SIMPLE,1
aws_oracle_ext.dbms_application_info$set_action,APP_INFO_DBMS,SIMPLE,1
aws_oracle_ext.dbms_application_info$read_module,APP_INFO_DBMS,SIMPLE,1
aws_oracle_ext.dbms_application_info$read_client_info,APP_INFO_DBMS,SIMPLE,1
aws_oracle_ext.current_timestamp,DATE_FUNCTION,SIMPLE,1
aws_oracle_ext.current_date,DATE_FUNCTION,SIMPLE,1
aws_oracle_ext.collection_trim_make,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.collection_trim,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.collection_prior,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.collection_next,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.collection_nearest,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.collection_extend,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.collection_element_set,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.collection_delete_make,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.collection_delete,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.chartorowid,ORACLE_FUNCTION,MEDIUM,2
aws_oracle_ext.bulk$fetch_cursor,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.bulk_exceptions$create_array,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.autonomous_exec,PRAGMA_AUTONOMOUS_PROCESSING,MEDIUM,2
aws_oracle_ext.a_setarrayvalue,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.asciistr,STRING_FUNCTION,SIMPLE,1
aws_oracle_ext.array$set_value,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.array$prior,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.array$next,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.array$last,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.array$get_value,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.array$first,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.array$add_fields_to_array,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.a_getarrayvalue,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.add_months,DATE_FUNCTION,SIMPLE,1
aws_oracle_ext.tz,DATE_FUNCTION,SIMPLE,1
aws_oracle_ext.userenv_number,USER_ENV,SIMPLE,0.5
aws_oracle_ext.setglobalvariable,GLOBAL_VAR,COMPLEX,4
aws_oracle_ext.packageinitialize,GLOBAL_VAR,COMPLEX,4
aws_oracle_ext.getglobalvariable,GLOBAL_VAR,COMPLEX,4
aws_oracle_ext.dbms_output$put_line,PRINT_FUNC,SIMPLE,1
aws_oracle_ext.dbms_lob$read,LOB_PROCESSING_DBMS,COMPLEX,4
aws_oracle_ext.dbms_lob$getlength,LOB_PROCESSING_DBMS,COMPLEX,4
aws_oracle_ext.array$delete,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.array$create_storage_table,COLLECTION_PROCESSING,COMPLEX,4
aws_oracle_ext.array$create_array,COLLECTION_PROCESSING,COMPLEX,4
